user_id,skill_id,correct,time
U157282,K538423,1,1553184000
U215242,K538365,0,1553184000
U165950,K538433,1,1553184000
U218207,K538436,1,1553184000
U198780,K538224,1,1553184000
U218207,K538436,1,1553184000
U165950,K538262,1,1553184000
U166292,K538040,1,1553184000
U176177,K538224,1,1553184000
U207804,K538370,1,1553184000
U172000,K538370,1,1553184000
U164349,K538270,1,1553184000
U206106,K538370,1,1553184000
U168713,K538123,1,1553184000
U227257,K538123,1,1553184000
U212663,K538224,1,1553184000
U214251,K538395,1,1553184000
U207804,K538395,1,1553184000
U215242,K538358,0,1553184000
U198440,K538123,1,1553184000
U198735,K538423,1,1553184000
U198735,K538057,1,1553184000
U149409,K538423,1,1553184000
U149409,K538057,1,1553184000
U172000,K538370,1,1553184000
U212353,K538208,1,1553184000
U171014,K538208,1,1553184000
U179148,K538208,1,1553184000
U182492,K538184,1,1553184000
U207804,K538370,1,1553184000
U198440,K538057,1,1553184000
U194477,K538057,1,1553184000
U216901,K538270,1,1553184000
U206923,K538123,0,1553184000
U157155,K538433,1,1553184000
U157155,K538433,1,1553184000
U169831,K538202,1,1553270400
U192825,K538287,0,1553270400
U171226,K538370,1,1553270400
U187215,K538370,1,1553270400
U169831,K538215,1,1553270400
U168552,K538457,1,1553270400
U163220,K538370,1,1553270400
U223420,K538370,1,1553270400
U208969,K538370,1,1553270400
U218441,K538370,1,1553270400
U205303,K538395,1,1553270400
U210912,K538370,1,1553270400
U213999,K538370,1,1553270400
U194477,K538057,1,1553270400
U223116,K538370,1,1553270400
U198780,K538457,1,1553270400
U173773,K538457,0,1553270400
U202056,K538370,1,1553270400
U173773,K538395,1,1553270400
U182650,K538370,1,1553270400
U217619,K538457,1,1553270400
U209915,K538492,1,1553270400
U224900,K538270,1,1553270400
U218441,K538423,1,1553270400
U218441,K538057,1,1553270400
U182650,K538395,1,1553270400
U202056,K538395,1,1553270400
U223116,K538395,1,1553270400
U210912,K538395,0,1553270400
U178066,K538423,1,1553270400
U178066,K538057,1,1553270400
U207804,K538423,1,1553270400
U182650,K538057,1,1553270400
U207804,K538057,1,1553270400
U171226,K538395,1,1553270400
U203468,K538057,1,1553270400
U187215,K538395,1,1553270400
U163220,K538423,1,1553270400
U205303,K538224,1,1553270400
U150458,K538224,1,1553270400
U163220,K538057,1,1553270400
U189304,K538224,0,1553270400
U202402,K538491,1,1553270400
U203468,K538423,1,1553270400
U182650,K538423,1,1553270400
U218441,K538395,1,1553270400
U178066,K538395,1,1553270400
U152831,K538224,1,1553270400
U176177,K538224,1,1553270400
U150458,K538224,1,1553270400
U205303,K538224,1,1553270400
U152715,K538224,1,1553270400
U215886,K538224,1,1553270400
U173773,K538224,1,1553270400
U217619,K538224,1,1553270400
U162664,K538057,1,1553270400
U219202,K538057,0,1553270400
U187215,K538395,1,1553270400
U171226,K538395,1,1553270400
U202056,K538395,1,1553270400
U182650,K538395,1,1553270400
U218441,K538395,1,1553270400
U178066,K538395,1,1553270400
U184760,K538395,1,1553270400
U163220,K538395,1,1553270400
U197001,K538395,1,1553270400
U163220,K538395,1,1553270400
U160266,K538395,1,1553270400
U202402,K538423,1,1553270400
U198440,K538457,1,1553270400
U198440,K538224,0,1553270400
U194477,K538224,1,1553270400
U150458,K538457,1,1553270400
U212806,K538457,1,1553270400
U156526,K538457,1,1553270400
U163220,K538423,0,1553270400
U184522,K538057,1,1553270400
U184522,K538436,1,1553270400
U170156,K538270,1,1553270400
U157475,K538270,1,1553270400
U219202,K538270,1,1553270400
U162664,K538270,1,1553270400
U184522,K538395,1,1553270400
U210738,K538270,1,1553270400
U226256,K538270,1,1553270400
U190429,K538425,1,1553270400
U190429,K538365,1,1553270400
U190429,K538057,1,1553270400
U202738,K538270,1,1553270400
U197922,K538270,1,1553270400
U155673,K538270,1,1553270400
U190167,K538270,1,1553270400
U178894,K538270,1,1553270400
U176177,K538457,1,1553270400
U199518,K538270,1,1553270400
U159654,K538457,1,1553270400
U174347,K538279,1,1553270400
U166520,K538491,0,1553270400
U166520,K538423,0,1553270400
U163220,K538123,0,1553270400
U168552,K538457,1,1553270400
U173773,K538457,1,1553270400
U221234,K538457,1,1553270400
U156526,K538457,0,1553270400
U212806,K538457,1,1553270400
U176177,K538457,1,1553270400
U159654,K538457,1,1553270400
U152831,K538457,1,1553270400
U157426,K538491,0,1553270400
U157426,K538423,0,1553270400
U149409,K538491,1,1553270400
U149409,K538423,1,1553270400
U174731,K538491,1,1553270400
U174731,K538423,1,1553270400
U150458,K538395,1,1553270400
U207804,K538491,0,1553270400
U207804,K538423,0,1553270400
U163220,K538491,0,1553270400
U152831,K538457,1,1553270400
U150458,K538457,1,1553270400
U206106,K538492,0,1553270400
U190429,K538457,1,1553270400
U198304,K538436,0,1553270400
U173773,K538436,1,1553270400
U208771,K538436,1,1553270400
U156526,K538436,1,1553270400
U150458,K538436,1,1553270400
U225618,K538436,1,1553270400
U165930,K538123,1,1553270400
U168279,K538370,1,1553270400
U163220,K538057,0,1553270400
U228311,K538057,1,1553270400
U228311,K538436,0,1553270400
U174731,K538216,0,1553270400
U160266,K538216,0,1553270400
U149409,K538216,1,1553270400
U157426,K538216,0,1553270400
U184522,K538459,1,1553270400
U198440,K538457,1,1553270400
U200189,K538457,1,1553270400
U207380,K538457,1,1553270400
U221189,K538370,0,1553270400
U184522,K538256,1,1553270400
U224900,K538057,1,1553270400
U173843,K538057,1,1553270400
U210912,K538370,1,1553270400
U178894,K538057,1,1553270400
U163220,K538370,1,1553270400
U174347,K538057,1,1553270400
U207380,K538224,1,1553270400
U224306,K538436,1,1553270400
U168552,K538436,1,1553270400
U174347,K538425,1,1553270400
U223420,K538370,1,1553270400
U224649,K538370,0,1553270400
U208969,K538370,1,1553270400
U218441,K538370,1,1553270400
U182650,K538370,1,1553270400
U198440,K538184,1,1553270400
U207380,K538184,1,1553270400
U202056,K538370,1,1553270400
U198440,K538384,1,1553270400
U223817,K538384,0,1553270400
U223116,K538370,1,1553270400
U163220,K538123,1,1553270400
U190429,K538123,1,1553270400
U174347,K538425,1,1553270400
U220395,K538123,0,1553270400
U194477,K538492,1,1553270400
U192054,K538492,0,1553270400
U174347,K538279,1,1553270400
U174347,K538457,1,1553270400
U149409,K538279,1,1553270400
U149409,K538457,1,1553270400
U174347,K538123,1,1553270400
U212353,K538123,1,1553270400
U217212,K538425,1,1553270400
U189304,K538448,1,1553270400
U223817,K538057,0,1553270400
U190429,K538279,1,1553270400
U194477,K538448,1,1553270400
U165930,K538216,0,1553270400
U210278,K538057,0,1553270400
U170383,K538370,1,1553270400
U190429,K538057,1,1553270400
U210278,K538425,0,1553270400
U210738,K538057,1,1553270400
U162664,K538057,1,1553270400
U219202,K538057,1,1553270400
U157475,K538057,1,1553270400
U189930,K538202,1,1553270400
U189930,K538293,1,1553270400
U189930,K538262,1,1553270400
U198440,K538492,1,1553270400
U190458,K538202,0,1553270400
U190458,K538293,0,1553270400
U190458,K538262,0,1553270400
U189304,K538492,1,1553270400
U202738,K538057,1,1553270400
U157155,K538208,1,1553270400
U174347,K538057,0,1553270400
U151876,K538365,1,1553270400
U225045,K538057,0,1553270400
U157426,K538057,1,1553270400
U174347,K538384,1,1553270400
U198440,K538224,1,1553270400
U183979,K538224,1,1553270400
U149409,K538057,1,1553270400
U174731,K538057,1,1553270400
U206106,K538492,0,1553270400
U174802,K538492,1,1553270400
U150458,K538492,1,1553270400
U198930,K538057,0,1553270400
U157155,K538433,1,1553270400
U172968,K538123,0,1553270400
U226256,K538057,1,1553270400
U212353,K538262,1,1553270400
U199518,K538279,1,1553270400
U198440,K538492,1,1553270400
U218615,K538492,1,1553270400
U207380,K538492,1,1553270400
U162664,K538279,1,1553270400
U212353,K538433,1,1553270400
U187215,K538370,1,1553270400
U190167,K538057,1,1553270400
U171226,K538370,1,1553270400
U187784,K538279,0,1553270400
U155673,K538057,1,1553270400
U163220,K538057,1,1553270400
U149409,K538457,1,1553270400
U190429,K538425,1,1553270400
U174347,K538370,0,1553270400
U157426,K538457,1,1553270400
U223817,K538328,1,1553270400
U197922,K538057,1,1553270400
U157155,K538287,1,1553270400
U212353,K538303,1,1553270400
U163220,K538425,1,1553270400
U197922,K538279,1,1553270400
U208969,K538057,1,1553356800
U207804,K538057,1,1553356800
U193576,K538123,1,1553356800
U158261,K538384,0,1553356800
U176008,K538224,1,1553356800
U223924,K538224,1,1553356800
U182734,K538423,0,1553356800
U172290,K538425,1,1553356800
U221403,K538224,1,1553356800
U193036,K538224,1,1553356800
U182734,K538448,0,1553356800
U163220,K538436,1,1553356800
U208969,K538423,1,1553356800
U222198,K538395,0,1553356800
U222937,K538370,1,1553356800
U212353,K538370,1,1553356800
U210912,K538395,1,1553356800
U161645,K538224,1,1553356800
U212240,K538224,1,1553356800
U221403,K538224,1,1553356800
U192438,K538224,1,1553356800
U208555,K538057,1,1553356800
U167792,K538057,1,1553356800
U207264,K538057,1,1553356800
U152898,K538057,1,1553356800
U180912,K538057,1,1553356800
U164223,K538436,1,1553356800
U199518,K538057,0,1553356800
U172290,K538216,1,1553356800
U216880,K538224,1,1553356800
U201686,K538224,1,1553356800
U168360,K538224,1,1553356800
U194477,K538224,1,1553356800
U187124,K538057,1,1553356800
U212458,K538057,1,1553356800
U183572,K538057,1,1553356800
U219202,K538057,1,1553356800
U208555,K538057,1,1553356800
U167792,K538057,1,1553356800
U170827,K538057,1,1553356800
U210669,K538057,1,1553356800
U152898,K538057,1,1553356800
U183979,K538370,1,1553356800
U183979,K538457,1,1553356800
U183979,K538457,1,1553356800
U163167,K538123,1,1553356800
U157904,K538370,1,1553356800
U152568,K538370,1,1553356800
U224649,K538370,0,1553356800
U176898,K538057,0,1553356800
U159720,K538123,1,1553356800
U194704,K538448,0,1553356800
U158930,K538448,0,1553356800
U211342,K538425,0,1553356800
U197669,K538425,1,1553356800
U153824,K538425,0,1553356800
U196589,K538425,0,1553356800
U185468,K538425,1,1553356800
U228514,K538124,1,1553356800
U208069,K538370,1,1553356800
U169594,K538395,1,1553356800
U219202,K538057,1,1553356800
U222937,K538395,0,1553356800
U203468,K538395,1,1553356800
U210912,K538395,1,1553356800
U187215,K538395,1,1553356800
U183979,K538457,1,1553356800
U183979,K538265,1,1553356800
U183979,K538457,1,1553356800
U183979,K538457,1,1553356800
U183979,K538457,1,1553356800
U174347,K538123,1,1553356800
U174347,K538123,1,1553356800
U172290,K538123,0,1553356800
U190420,K538057,1,1553356800
U198930,K538057,1,1553356800
U201686,K538457,1,1553356800
U206385,K538086,1,1553356800
U211699,K538395,1,1553356800
U216880,K538395,1,1553356800
U159720,K538395,0,1553356800
U163167,K538395,1,1553356800
U221403,K538395,1,1553356800
U193036,K538395,1,1553356800
U212240,K538395,1,1553356800
U193506,K538395,1,1553356800
U220012,K538395,1,1553356800
U208969,K538395,1,1553356800
U159935,K538370,0,1553356800
U195407,K538057,1,1553356800
U202858,K538270,1,1553356800
U198340,K538270,1,1553356800
U166930,K538310,1,1553356800
U223420,K538395,1,1553356800
U220479,K538270,1,1553356800
U180912,K538270,0,1553356800
U198930,K538423,0,1553356800
U198930,K538491,0,1553356800
U203468,K538423,0,1553356800
U161831,K538395,0,1553356800
U203468,K538491,0,1553356800
U207804,K538423,0,1553356800
U207804,K538491,0,1553356800
U174731,K538423,1,1553356800
U174731,K538491,1,1553356800
U152898,K538270,1,1553356800
U157426,K538423,0,1553356800
U172290,K538370,1,1553356800
U157426,K538491,0,1553356800
U194291,K538395,1,1553356800
U208555,K538279,1,1553356800
U193247,K538395,1,1553356800
U193247,K538395,0,1553356800
U163167,K538492,1,1553356800
U198440,K538457,0,1553356800
U198440,K538384,0,1553356800
U198440,K538457,0,1553356800
U198440,K538384,0,1553356800
U198440,K538457,0,1553356800
U198440,K538384,0,1553356800
U198440,K538457,0,1553356800
U198440,K538384,0,1553356800
U228311,K538433,1,1553356800
U223924,K538395,1,1553356800
U153562,K538384,1,1553356800
U176008,K538395,1,1553356800
U193506,K538457,0,1553356800
